id;data_criacao;usuario_criacao_acao;pendente;data_execucao_acao;ativa;observacoes
1;2022-03-01T09:17:47;Architect COM;false;2022-03-01;false;Bedfordshire
2;2022-03-01T15:18:29;Steel;false;2022-03-01;true;pixel Future-proofed array
3;2022-03-01T05:20:07;Wooden;true;2022-03-01;true;Neck SQL intuitive
4;2022-03-01T03:29:49;Romania parse;false;2022-03-01;true;auxiliary empower Directives
5;2022-02-28T20:35:04;Rustic;false;2022-03-01;false;Louisiana Planner Awesome
6;2022-03-01T15:29:42;purple;true;2022-03-01;true;Personal mobile Tools
7;2022-03-01T10:53:07;Berkshire;true;2022-03-01;false;system
8;2022-03-01T11:53:29;turquoise;false;2022-03-01;false;Account sensor
9;2022-03-01T07:13:39;Human recontextualize Checking;true;2022-03-01;false;protocol Automotive Cambridgeshire
10;2022-03-01T07:32:05;California;false;2022-03-01;false;River JSON
