id;descricao;imagem;imagem_content_type;categoria_item;unidade_medida
1;Supervisor Berkshire;../fake-data/blob/hipster.png;image/png;FERRAMENTAS;CAIXA
2;Flats Bedfordshire knowledge;../fake-data/blob/hipster.png;image/png;PAPELARIA;LITRO
3;Bike withdrawal;../fake-data/blob/hipster.png;image/png;ELETRODOMESTICO;CAIXA
4;killer drive haptic;../fake-data/blob/hipster.png;image/png;PAPELARIA;EMBALAGEM
5;Bedfordshire;../fake-data/blob/hipster.png;image/png;INFORMATICA;DUZIA
6;China Generic Games;../fake-data/blob/hipster.png;image/png;ELETRODOMESTICO;KIT
7;Shirt;../fake-data/blob/hipster.png;image/png;LIMPEZA;CAIXA
8;invoice;../fake-data/blob/hipster.png;image/png;INFORMATICA;TONELADA
9;Shores;../fake-data/blob/hipster.png;image/png;VESTUARIO;UNIDADE
10;Gorgeous compressing;../fake-data/blob/hipster.png;image/png;INFANTIL;EMBALAGEM
