id;solicitante;anonimidade;data_solicitacao;endereco_entrega;local_de_entrega;data_aprovacao;aprovado;ativa
1;programming;true;2022-02-28T18:53:08;Producer;copying Rubber;2022-03-01;false;true
2;deploy Slovenia;true;2022-03-01T02:59:55;Concrete Nevada Operations;mindshare District Cambridgeshire;2022-02-28;false;false
3;Iowa auxiliary;true;2022-03-01T00:10:08;Alabama;magnetic;2022-03-01;true;false
4;networks;true;2022-02-28T20:33:34;Intranet Pants auxiliary;Adaptive capability;2022-02-28;true;true
5;blue;true;2022-02-28T19:04:18;orchid;Morocco;2022-03-01;true;false
6;GB intangible;true;2022-03-01T02:34:46;Berkshire Future;Response;2022-03-01;true;true
7;Alabama;true;2022-02-28T18:59:58;Cotton Indiana generation;wireless;2022-03-01;true;false
8;Legacy Berkshire Vision-oriented;true;2022-03-01T04:35:35;networks Fantastic cross-platform;collaborative;2022-02-28;true;false
9;open-source;true;2022-03-01T06:23:29;alliance matrix;multimedia Buckinghamshire Progressive;2022-02-28;false;true
10;Functionality;true;2022-03-01T06:30:21;RSS connect;dynamic invoice Intelligent;2022-02-28;false;false
